M;T;PHI;uM;uT;uPHI
5,423;294,48;1,242;1;1;0,01
5,423;299,21;1,246;1;1;0,01
5,423;304,04;1,246;1;1;0,01
5,423;308,87;1,246;1;1;0,01
5,423;313,68;1,246;1;1;0,01
5,423;318,55;1,245;1;1;0,01
5,423;323,4;1,241;1;1;0,01
5,423;328,35;1,237;1;1;0,01
5,423;333,27;1,229;1;1;0,01
5,423;343,05;1,223;1;1;0,01
5,423;352,87;1,212;1;1;0,01
5,423;362,64;1,201;1;1;0,01
4,608;294,51;1,178;1;1;0,01
4,608;299,28;1,177;1;1;0,01
4,608;304,06;1,176;1;1;0,01
4,608;308,94;1,182;1;1;0,01
4,608;313,74;1,181;1;1;0,01
4,608;318,6;1,182;1;1;0,01
4,608;323,49;1,182;1;1;0,01
4,608;328,45;1,18;1;1;0,01
4,608;333,32;1,174;1;1;0,01
4,608;338,18;1,174;1;1;0,01
4,608;343,14;1,168;1;1;0,01
4,608;348,01;1,167;1;1;0,01
4,608;352,92;1,158;1;1;0,01
4,608;362,81;1,149;1;1;0,01
4,086;294,42;1,132;1;1;0,01
4,086;299,3;1,125;1;1;0,01
4,086;304,1;1,126;1;1;0,01
4,086;308,94;1,135;1;1;0,01
4,086;313,81;1,14;1;1;0,01
4,086;318,67;1,14;1;1;0,01
4,086;323,54;1,142;1;1;0,01
4,086;328,41;1,141;1;1;0,01
4,086;333,28;1,139;1;1;0,01
4,086;338,25;1,138;1;1;0,01
4,086;343,09;1,136;1;1;0,01
4,086;348,07;1,133;1;1;0,01
4,086;352,94;1,128;1;1;0,01
4,086;357,81;1,123;1;1;0,01
4,086;362,79;1,118;1;1;0,01
4,086;367,93;1,118;1;1;0,01
3,655;294,48;1,102;1;1;0,01
3,655;299,19;1,103;1;1;0,01
3,655;304,07;1,109;1;1;0,01
3,655;309,06;1,102;1;1;0,01
3,655;313,78;1,111;1;1;0,01
3,655;318,64;1,114;1;1;0,01
3,655;323,54;1,115;1;1;0,01
3,655;333,33;1,114;1;1;0,01
3,655;338,25;1,113;1;1;0,01
