Time;UxTime;Temperature;Uxtemperature
120.0;0.001;600.;0.05
60.0;0.001;612.;0.05
120.0;0.001;612.;0.05
60.0;0.001;620.;0.05
30.0;0.001;620.;0.05
15.0;0.001;620.;0.05
45.0;0.001;620.;0.05
90.0;0.001;620.;0.05
150.0;0.001;620.;0.05
60.0;0.001;620.;0.05
60.0;0.001;620.;0.05
30.0;0.001;620.;0.05
150.;0.001;620.;0.05
90.4;0.001;620.;0.05
120.0;0.001;620.;0.05
60.;0.001;620.;0.05
60.;0.001;620.;0.05
60.;0.001;620.;0.05
30.;0.001;631.;0.05
45.1;0.001;631.;0.05
30.;0.001;631.;0.05
45.;0.001;631.;0.05
15.;0.001;639.;0.05
90.;0.001;639.;0.05
25.;0.001;639.;0.05
60.1;0.001;639.;0.05
60.;0.001;639.;0.05
30.;0.001;639.;0.05
60.;0.001;639.;0.05
